company,director,genre,name,rating,star,writer
Columbia Pictures Corporation,Rob Reiner,Adventure,Stand by Me,R,Wil Wheaton,Stephen King
Paramount Pictures,John Hughes,Comedy,Ferris Bueller's Day Off,PG-13,Matthew Broderick,John Hughes
Paramount Pictures,Tony Scott,Action,Top Gun,PG,Tom Cruise,Jim Cash
Twentieth Century Fox Film Corporation,James Cameron,Action,Aliens,R,Sigourney Weaver,James Cameron
Walt Disney Pictures,Randal Kleiser,Adventure,Flight of the Navigator,PG,Joey Cramer,Mark H. Baker
Hemdale,Oliver Stone,Drama,Platoon,R,Charlie Sheen,Oliver Stone
Henson Associates (HA),Jim Henson,Adventure,Labyrinth,PG,David Bowie,Dennis Lee
De Laurentiis Entertainment Group (DEG),David Lynch,Drama,Blue Velvet,R,Isabella Rossellini,David Lynch
Paramount Pictures,Howard Deutch,Comedy,Pretty in Pink,PG-13,Molly Ringwald,John Hughes
SLM Production Group,David Cronenberg,Drama,The Fly,R,Jeff Goldblum,George Langelaan
Rimfire Films,Peter Faiman,Adventure,Crocodile Dundee,PG-13,Paul Hogan,Ken Shadie
Thorn EMI Screen Entertainment,Russell Mulcahy,Action,Highlander,R,Christopher Lambert,Gregory Widen
Twentieth Century Fox Film Corporation,David Seltzer,Comedy,Lucas,PG-13,Corey Haim,David Seltzer
Twentieth Century Fox Film Corporation,John Carpenter,Action,Big Trouble in Little China,PG-13,Kurt Russell,Gary Goldman
De Laurentiis Entertainment Group (DEG),Michael Mann,Crime,Manhunter,R,William Petersen,Thomas Harris
Producers Sales Organization (PSO),Adrian Lyne,Drama,9½ Weeks,R,Mickey Rourke,Elizabeth McNeill
De Laurentiis Entertainment Group (DEG),Stephen King,Action,Maximum Overdrive,R,Emilio Estevez,Stephen King
"Geffen Company, The",Frank Oz,Comedy,Little Shop of Horrors,PG-13,Rick Moranis,Howard Ashman
New Century Entertainment Corporation,Mike Marvin,Action,The Wraith,PG-13,Charlie Sheen,Mike Marvin
Universal Pictures,Willard Huyck,Action,Howard the Duck,PG,Lea Thompson,Steve Gerber
New Line Cinema,Stephen Herek,Action,Critters,PG-13,Dee Wallace,Domonic Muir
Orion Pictures,Alan Metter,Comedy,Back to School,PG-13,Rodney Dangerfield,Rodney Dangerfield
Cannon Films,Tobe Hooper,Comedy,The Texas Chainsaw Massacre 2,UNRATED,Dennis Hopper,L.M. Kit Carson
Jay Weston Productions,Clint Eastwood,Action,Heartbreak Ridge,R,Clint Eastwood,James Carabatsos
Paramount Pictures,Leonard Nimoy,Adventure,Star Trek IV: The Voyage Home,PG,William Shatner,Gene Roddenberry
TriStar Pictures,John Badham,Comedy,Short Circuit,PG,Ally Sheedy,S.S. Wilson
Neue Constantin Film,Jean-Jacques Annaud,Crime,The Name of the Rose,R,Sean Connery,Umberto Eco
TriStar Pictures,Sidney J. Furie,Action,Iron Eagle,PG-13,Louis Gossett Jr.,Kevin Alyn Elders
Paramount Pictures,Michael Ritchie,Action,The Golden Child,PG-13,Eddie Murphy,Dennis Feldman
Hemdale,Tim Hunter,Crime,River's Edge,R,Crispin Glover,Neal Jimenez
L.A. Films,John Landis,Comedy,¡Three Amigos!,PG,Steve Martin,Steve Martin
Warner Bros.,George P. Cosmatos,Action,Cobra,R,Sylvester Stallone,Paula Gosling
